Trial,Time,PRed,PGreen
RTr_Bl4_12,5.7,0.265266478,0.734733582
RTr_Bl4_12,5.8,0.269702584,0.730297387
RTr_Bl4_12,5.9,0.298072547,0.701927543
RTr_Bl4_12,6,0.352657825,0.647342145
RTr_Bl4_12,6.1,0.393156797,0.606843233
RTr_Bl4_12,6.2,0.441081911,0.558918178
RTr_Bl4_12,6.3,0.489621878,0.510378182
RTr_Bl4_12,6.4,0.489496827,0.510503173
RTr_Bl4_12,6.5,0.552228272,0.447771668
RTr_Bl4_12,6.6,0.580425382,0.419574648
RTr_Bl4_12,6.7,0.615745962,0.384254038
RTr_Bl4_12,6.8,0.61999619,0.38000378
RTr_Bl4_12,6.9,0.662093043,0.337906867
RTr_Bl4_12,7,0.667702079,0.332298011
RTr_Bl4_12,7.1,0.642926335,0.357073754
RTr_Bl4_13,0.1,0.725862682,0.274137259
RTr_Bl4_13,0.2,0.686746955,0.313253045
RTr_Bl4_13,0.3,0.673532248,0.326467723
RTr_Bl4_13,0.4,0.685579062,0.314420998
RTr_Bl4_13,0.5,0.668941557,0.331058443
RTr_Bl4_13,0.6,0.65888989,0.34111008
RTr_Bl4_13,0.7,0.66598177,0.334018171
RTr_Bl4_13,0.8,0.671088874,0.328911185
RTr_Bl4_13,0.9,0.678828299,0.321171671
RTr_Bl4_13,1,0.682047963,0.317952037
RTr_Bl4_13,1.1,0.699831724,0.300168246
RTr_Bl4_13,1.2,0.705120623,0.294879347
RTr_Bl4_13,1.3,0.7162956,0.28370434
RTr_Bl4_13,1.4,0.740516007,0.259484082
RTr_Bl4_13,1.5,0.733693004,0.266306996
RTr_Bl4_13,1.6,0.742632806,0.257367164
RTr_Bl4_13,1.7,0.742746949,0.257253021
RTr_Bl4_13,1.8,0.727360904,0.272639155
RTr_Bl4_13,1.9,0.721453488,0.278546482
RTr_Bl4_13,2,0.744264245,0.255735844
RTr_Bl4_13,2.1,0.772500753,0.227499261
RTr_Bl4_13,2.2,0.774105072,0.225895002
RTr_Bl4_13,2.3,0.765674353,0.234325677
RTr_Bl4_13,2.4,0.765609503,0.234390467
RTr_Bl4_13,2.5,0.77438581,0.225614175
RTr_Bl4_13,2.6,0.769107103,0.230892926
RTr_Bl4_13,2.7,0.739394367,0.260605693
RTr_Bl4_13,2.8,0.742208898,0.257791162
RTr_Bl4_13,2.9,0.751734853,0.248265088
RTr_Bl4_13,3,0.759442627,0.240557387
RTr_Bl4_13,3.1,0.777611911,0.222388119
RTr_Bl4_13,3.2,0.770647705,0.22935231
RTr_Bl4_13,3.3,0.756289482,0.243710503
RTr_Bl4_13,3.4,0.75818789,0.24181214
RTr_Bl4_13,3.5,0.741948605,0.258051425
RTr_Bl4_13,3.6,0.736761332,0.263238698
RTr_Bl4_13,3.7,0.697968245,0.302031755
RTr_Bl4_13,3.8,0.67773366,0.322266251
RTr_Bl4_13,3.9,0.657011628,0.342988402
RTr_Bl4_13,4,0.663715899,0.336284101
RTr_Bl4_13,4.1,0.654697716,0.345302284
RTr_Bl4_13,4.2,0.674920797,0.325079232
RTr_Bl4_13,4.3,0.687972963,0.312026978
RTr_Bl4_13,4.4,0.692158699,0.307841271
RTr_Bl4_13,4.5,0.703342378,0.296657562
RTr_Bl4_13,4.6,0.720134676,0.279865384
RTr_Bl4_13,4.7,0.733265102,0.266734898
RTr_Bl4_13,4.8,0.750725746,0.249274209
RTr_Bl4_13,4.9,0.76391232,0.23608771
RTr_Bl4_13,5,0.777400255,0.22259979
RTr_Bl4_13,5.1,0.768712759,0.231287241
